Format Version,1.23,Take Name,Take 2024-01-10 11.43.30 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-10 11.43.30.991 ,Total Frames in Take,5832,Total Exported Frames,5832,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001
,ID,"3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
210,2.100000,-0.002043,0.003754,0.007842,-0.999960,37.441429,688.086121,170.891754
211,2.110000,-0.001174,0.004684,0.007585,-0.999960,37.501171,688.014832,170.957504
212,2.120000,-0.001316,0.004438,0.007568,-0.999961,37.486851,688.006165,170.974548
213,2.130000,-0.002058,0.003761,0.007765,-0.999961,37.439400,688.093750,170.896957
214,2.140000,-0.002240,0.003814,0.007765,-0.999960,37.437008,688.099548,170.898758
215,2.150000,-0.002114,0.003704,0.008005,-0.999959,37.444363,688.102661,170.904602
216,2.160000,-0.001344,0.004284,0.007604,-0.999961,37.494808,688.002991,170.987076
217,2.170000,-0.002210,0.003731,0.007833,-0.999960,37.430714,688.093079,170.906281
218,2.180000,-0.002136,0.003925,0.007992,-0.999958,37.453514,688.101807,170.897263
219,2.190000,-0.001138,0.004214,0.007529,-0.999962,37.485596,688.012085,170.959396
220,2.200000,-0.001205,0.003880,0.008001,-0.999960,37.452858,688.006042,170.967346
221,2.210000,-0.001088,0.004508,0.007648,-0.999960,37.495461,688.008667,170.958527
222,2.220000,-0.002080,0.003673,0.007880,-0.999960,37.436504,688.099304,170.899323
